ID,Feature_Module,Endpoint_Path,HTTP_Method,Operation_Description,Integration_Status,Repository_File,Model_DTO,UI_Screen_Route
26,Epic 02 - Core Master Data,/api/categories/{id},PUT,Update item category,Integrated & Live Verified,lib/features/masters/data/repositories/category_repository.dart,CategoryDto,CategoryScreen (/masters/categories)
27,Epic 02 - Core Master Data,/api/categories/{id},DELETE,Delete item category,Integrated & Live Verified,lib/features/masters/data/repositories/category_repository.dart,CategoryDto,CategoryScreen (/masters/categories)
28,Epic 02 - Core Master Data,/api/units,GET,List Units of Measure (UOM),Integrated & Live Verified,lib/features/masters/data/repositories/unit_repository.dart,UnitDto,UnitScreen (/masters/units)
29,Epic 02 - Core Master Data,/api/units,POST,Create new Unit of Measure,Integrated & Live Verified,lib/features/masters/data/repositories/unit_repository.dart,UnitDto,UnitScreen (/masters/units)
30,Epic 02 - Core Master Data,/api/units/{id},GET,Get Unit of Measure by ID,Integrated & Live Verified,lib/features/masters/data/repositories/unit_repository.dart,UnitDto,UnitScreen (/masters/units)
31,Epic 02 - Core Master Data,/api/units/{id},PUT,Update Unit of Measure,Integrated & Live Verified,lib/features/masters/data/repositories/unit_repository.dart,UnitDto,UnitScreen (/masters/units)
32,Epic 02 - Core Master Data,/api/units/{id},DELETE,Delete Unit of Measure,Integrated & Live Verified,lib/features/masters/data/repositories/unit_repository.dart,UnitDto,UnitScreen (/masters/units)
33,Epic 02 - Core Master Data,/api/products,GET,List products and raw materials,Integrated & Live Verified,lib/features/masters/data/repositories/product_repository.dart,ProductDto,ProductListScreen (/masters/products)
34,Epic 02 - Core Master Data,/api/products,POST,Create new product or raw material,Integrated & Live Verified,lib/features/masters/data/repositories/product_repository.dart,ProductDto,ProductFormScreen (/masters/products/new)
35,Epic 02 - Core Master Data,/api/products/{id},GET,Get product details by ID,Integrated & Live Verified,lib/features/masters/data/repositories/product_repository.dart,ProductDto,ProductDetailScreen (/masters/products/:id)
36,Epic 02 - Core Master Data,/api/products/{id},PUT,Update product specifications,Integrated & Live Verified,lib/features/masters/data/repositories/product_repository.dart,ProductDto,ProductFormScreen (/masters/products/:id/edit)
37,Epic 02 - Core Master Data,/api/products/{id},DELETE,Delete product,Integrated & Live Verified,lib/features/masters/data/repositories/product_repository.dart,ProductDto,ProductListScreen (/masters/products)
38,Epic 02 - Core Master Data,/api/warehouses,GET,List plant storage warehouses and silos,Integrated & Live Verified,lib/features/masters/data/repositories/warehouse_repository.dart,WarehouseDto,WarehouseScreen (/masters/warehouses)
39,Epic 02 - Core Master Data,/api/warehouses,POST,Create new warehouse,Integrated & Live Verified,lib/features/masters/data/repositories/warehouse_repository.dart,WarehouseDto,WarehouseScreen (/masters/warehouses)
40,Epic 02 - Core Master Data,/api/warehouses/{id},GET,Get warehouse by ID,Integrated & Live Verified,lib/features/masters/data/repositories/warehouse_repository.dart,WarehouseDto,WarehouseScreen (/masters/warehouses)
41,Epic 02 - Core Master Data,/api/warehouses/{id},PUT,Update warehouse information,Integrated & Live Verified,lib/features/masters/data/repositories/warehouse_repository.dart,WarehouseDto,WarehouseScreen (/masters/warehouses)
42,Epic 02 - Core Master Data,/api/warehouses/{id},DELETE,Delete warehouse,Integrated & Live Verified,lib/features/masters/data/repositories/warehouse_repository.dart,WarehouseDto,WarehouseScreen (/masters/warehouses)
43,Epic 02 - Core Master Data,/api/document-sequences,GET,List auto-numbering document sequences,Integrated & Live Verified,lib/features/masters/data/repositories/sequence_repository.dart,DocumentSequenceDto,SequenceScreen (/masters/sequences)
44,Epic 02 - Core Master Data,/api/document-sequences,POST,Create document sequence formula,Integrated & Live Verified,lib/features/masters/data/repositories/sequence_repository.dart,DocumentSequenceDto,SequenceScreen (/masters/sequences)
45,Epic 02 - Core Master Data,/api/document-sequences/{id},GET,Get document sequence by ID,Integrated & Live Verified,lib/features/masters/data/repositories/sequence_repository.dart,DocumentSequenceDto,SequenceScreen (/masters/sequences)
46,Epic 02 - Core Master Data,/api/document-sequences/{id},PUT,Update document sequence formula,Integrated & Live Verified,lib/features/masters/data/repositories/sequence_repository.dart,DocumentSequenceDto,SequenceScreen (/masters/sequences)
47,Epic 02 - Core Master Data,/api/document-sequences/{id},DELETE,Delete document sequence,Integrated & Live Verified,lib/features/masters/data/repositories/sequence_repository.dart,DocumentSequenceDto,SequenceScreen (/masters/sequences)
48,Epic 03 - Partner Masters,/api/suppliers,GET,List raw material vendors,Integrated & Live Verified,lib/features/partners/data/repositories/supplier_repository.dart,SupplierDto,SupplierListScreen (/partners/suppliers)
49,Epic 03 - Partner Masters,/api/suppliers,POST,Create supplier profile,Integrated & Live Verified,lib/features/partners/data/repositories/supplier_repository.dart,SupplierDto,SupplierFormScreen (/partners/suppliers/new)
50,Epic 03 - Partner Masters,/api/suppliers/{id},GET,Get supplier by ID,Integrated & Live Verified,lib/features/partners/data/repositories/supplier_repository.dart,SupplierDto,SupplierFormScreen (/partners/suppliers/:id/edit)
51,Epic 03 - Partner Masters,/api/suppliers/{id},PUT,Update supplier details and GSTIN,Integrated & Live Verified,lib/features/partners/data/repositories/supplier_repository.dart,SupplierDto,SupplierFormScreen (/partners/suppliers/:id/edit)
52,Epic 03 - Partner Masters,/api/suppliers/{id},DELETE,Delete supplier,Integrated & Live Verified,lib/features/partners/data/repositories/supplier_repository.dart,SupplierDto,SupplierListScreen (/partners/suppliers)
53,Epic 03 - Partner Masters,/api/customers,GET,List buyers and distribution accounts,Integrated & Live Verified,lib/features/partners/data/repositories/customer_repository.dart,CustomerDto,CustomerListScreen (/partners/customers)
54,Epic 03 - Partner Masters,/api/customers,POST,Create customer profile,Integrated & Live Verified,lib/features/partners/data/repositories/customer_repository.dart,CustomerDto,CustomerFormScreen (/partners/customers/new)
55,Epic 03 - Partner Masters,/api/customers/{id},GET,Get customer by ID,Integrated & Live Verified,lib/features/partners/data/repositories/customer_repository.dart,CustomerDto,CustomerFormScreen (/partners/customers/:id/edit)
56,Epic 03 - Partner Masters,/api/customers/{id},PUT,Update customer credit limit and terms,Integrated & Live Verified,lib/features/partners/data/repositories/customer_repository.dart,CustomerDto,CustomerFormScreen (/partners/customers/:id/edit)
57,Epic 03 - Partner Masters,/api/customers/{id},DELETE,Delete customer,Integrated & Live Verified,lib/features/partners/data/repositories/customer_repository.dart,CustomerDto,CustomerListScreen (/partners/customers)
58,Epic 03 - Partner Masters,/api/transporters,GET,List logistics freight carriers,Integrated & Live Verified,lib/features/partners/data/repositories/transporter_repository.dart,TransporterDto,TransporterListScreen (/partners/transporters)
59,Epic 03 - Partner Masters,/api/transporters,POST,Create transporter account,Integrated & Live Verified,lib/features/partners/data/repositories/transporter_repository.dart,TransporterDto,TransporterFormScreen (/partners/transporters/new)
60,Epic 03 - Partner Masters,/api/transporters/{id},GET,Get transporter by ID,Integrated & Live Verified,lib/features/partners/data/repositories/transporter_repository.dart,TransporterDto,TransporterFormScreen (/partners/transporters/:id/edit)
61,Epic 03 - Partner Masters,/api/transporters/{id},PUT,Update transporter details,Integrated & Live Verified,lib/features/partners/data/repositories/transporter_repository.dart,TransporterDto,TransporterFormScreen (/partners/transporters/:id/edit)
62,Epic 03 - Partner Masters,/api/transporters/{id},DELETE,Delete transporter,Integrated & Live Verified,lib/features/partners/data/repositories/transporter_repository.dart,TransporterDto,TransporterListScreen (/partners/transporters)
63,Epic 03 - Partner Masters,/api/vehicles,GET,List fleet trucks and vehicles,Integrated & Live Verified,lib/features/partners/data/repositories/vehicle_repository.dart,VehicleDto,VehicleListScreen (/partners/vehicles)
64,Epic 03 - Partner Masters,/api/vehicles,POST,Create fleet vehicle,Integrated & Live Verified,lib/features/partners/data/repositories/vehicle_repository.dart,VehicleDto,VehicleListScreen (/partners/vehicles)
65,Epic 03 - Partner Masters,/api/vehicles/{id},GET,Get vehicle by ID,Integrated & Live Verified,lib/features/partners/data/repositories/vehicle_repository.dart,VehicleDto,VehicleListScreen (/partners/vehicles)
66,Epic 03 - Partner Masters,/api/vehicles/{id},PUT,Update vehicle registration and driver,Integrated & Live Verified,lib/features/partners/data/repositories/vehicle_repository.dart,VehicleDto,VehicleListScreen (/partners/vehicles)
67,Epic 03 - Partner Masters,/api/vehicles/{id},DELETE,Delete vehicle,Integrated & Live Verified,lib/features/partners/data/repositories/vehicle_repository.dart,VehicleDto,VehicleListScreen (/partners/vehicles)
68,Epic 03 - Partner Masters,/api/payment-methods,GET,List accepted payment channels (Bank UPI Cash),Integrated & Live Verified,lib/features/partners/data/repositories/payment_method_repository.dart,PaymentMethodDto,PaymentMethodScreen (/partners/payment-methods)
69,Epic 03 - Partner Masters,/api/payment-methods,POST,Create payment method,Integrated & Live Verified,lib/features/partners/data/repositories/payment_method_repository.dart,PaymentMethodDto,PaymentMethodScreen (/partners/payment-methods)
70,Epic 03 - Partner Masters,/api/payment-methods/{id},GET,Get payment method by ID,Integrated & Live Verified,lib/features/partners/data/repositories/payment_method_repository.dart,PaymentMethodDto,PaymentMethodScreen (/partners/payment-methods)
71,Epic 03 - Partner Masters,/api/payment-methods/{id},PUT,Update payment method,Integrated & Live Verified,lib/features/partners/data/repositories/payment_method_repository.dart,PaymentMethodDto,PaymentMethodScreen (/partners/payment-methods)
72,Epic 03 - Partner Masters,/api/payment-methods/{id},DELETE,Delete payment method,Integrated & Live Verified,lib/features/partners/data/repositories/payment_method_repository.dart,PaymentMethodDto,PaymentMethodScreen (/partners/payment-methods)
73,Epic 04 - Purchasing & GRN,/api/purchases,GET,List purchase orders,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDto,PurchaseListScreen (/purchases)
74,Epic 04 - Purchasing & GRN,/api/purchases,POST,Create raw material purchase order,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDto,PurchaseOrderFormScreen (/purchases/new)
75,Epic 04 - Purchasing & GRN,/api/purchases/{id},GET,Get purchase order details,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDto,PurchaseDetailScreen (/purchases/:id)
76,Epic 04 - Purchasing & GRN,/api/purchases/{id},PUT,Update purchase order,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDto,PurchaseDetailScreen (/purchases/:id)
77,Epic 04 - Purchasing & GRN,/api/purchases/{id},DELETE,Cancel purchase order,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDto,PurchaseDetailScreen (/purchases/:id)
78,Epic 04 - Purchasing & GRN,/api/purchase-details,GET,List purchase detail items,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDetailDto,PurchaseDetailScreen (/purchases/:id)
79,Epic 04 - Purchasing & GRN,/api/purchase-details,POST,Add item to purchase order,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDetailDto,PurchaseOrderFormScreen (/purchases/new)
80,Epic 04 - Purchasing & GRN,/api/purchase-details/{id},GET,Get purchase detail item by ID,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDetailDto,PurchaseDetailScreen (/purchases/:id)
81,Epic 04 - Purchasing & GRN,/api/purchase-details/{id},PUT,Update purchase detail item,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDetailDto,PurchaseDetailScreen (/purchases/:id)
82,Epic 04 - Purchasing & GRN,/api/purchase-details/{id},DELETE,Remove purchase detail item,Integrated & Live Verified,lib/features/purchasing/data/repositories/purchase_repository.dart,PurchaseDetailDto,PurchaseDetailScreen (/purchases/:id)
83,Epic 04 - Purchasing & GRN,/api/goods-receipts,GET,List Goods Receipt Notes (GRN),Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDto,GoodsReceiptFormScreen (/purchases/:id/grn)
84,Epic 04 - Purchasing & GRN,/api/goods-receipts,POST,Confirm inward goods receipt,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDto,GoodsReceiptFormScreen (/purchases/:id/grn)
85,Epic 04 - Purchasing & GRN,/api/goods-receipts/{id},GET,Get goods receipt note by ID,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDto,GoodsReceiptFormScreen (/purchases/:id/grn)
86,Epic 04 - Purchasing & GRN,/api/goods-receipts/{id},PUT,Update goods receipt note,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDto,GoodsReceiptFormScreen (/purchases/:id/grn)
87,Epic 04 - Purchasing & GRN,/api/goods-receipts/{id},DELETE,Delete goods receipt note,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDto,GoodsReceiptFormScreen (/purchases/:id/grn)
88,Epic 04 - Purchasing & GRN,/api/goods-receipt-details,GET,List GRN received line items,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDetailDto,GoodsReceiptFormScreen (/purchases/:id/grn)
89,Epic 04 - Purchasing & GRN,/api/goods-receipt-details,POST,Add received item to GRN,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDetailDto,GoodsReceiptFormScreen (/purchases/:id/grn)
90,Epic 04 - Purchasing & GRN,/api/goods-receipt-details/{id},GET,Get GRN received item by ID,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDetailDto,GoodsReceiptFormScreen (/purchases/:id/grn)
91,Epic 04 - Purchasing & GRN,/api/goods-receipt-details/{id},PUT,Update GRN received item,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDetailDto,GoodsReceiptFormScreen (/purchases/:id/grn)
92,Epic 04 - Purchasing & GRN,/api/goods-receipt-details/{id},DELETE,Remove item from GRN,Integrated & Live Verified,lib/features/purchasing/data/repositories/goods_receipt_repository.dart,GoodsReceiptDetailDto,GoodsReceiptFormScreen (/purchases/:id/grn)
93,Epic 04 - Purchasing & GRN,/api/vendor-payments,GET,List vendor payment vouchers,Integrated & Live Verified,lib/features/purchasing/data/repositories/vendor_payment_repository.dart,VendorPaymentDto,VendorPaymentFormScreen (/purchases/:id/pay)
94,Epic 04 - Purchasing & GRN,/api/vendor-payments,POST,Record vendor payout voucher,Integrated & Live Verified,lib/features/purchasing/data/repositories/vendor_payment_repository.dart,VendorPaymentDto,VendorPaymentFormScreen (/purchases/:id/pay)
95,Epic 04 - Purchasing & GRN,/api/vendor-payments/{id},GET,Get vendor payout voucher by ID,Integrated & Live Verified,lib/features/purchasing/data/repositories/vendor_payment_repository.dart,VendorPaymentDto,VendorPaymentFormScreen (/purchases/:id/pay)
96,Epic 04 - Purchasing & GRN,/api/vendor-payments/{id},PUT,Update vendor payout voucher,Integrated & Live Verified,lib/features/purchasing/data/repositories/vendor_payment_repository.dart,VendorPaymentDto,VendorPaymentFormScreen (/purchases/:id/pay)
97,Epic 04 - Purchasing & GRN,/api/vendor-payments/{id},DELETE,Delete vendor payout voucher,Integrated & Live Verified,lib/features/purchasing/data/repositories/vendor_payment_repository.dart,VendorPaymentDto,VendorPaymentFormScreen (/purchases/:id/pay)
98,Epic 05 - Inventory & Stock,/api/stock-balances,GET,List real-time warehouse stock balances and valuation,Integrated & Live Verified,lib/features/inventory/data/repositories/inventory_repository.dart,StockBalanceDto,StockDashboardScreen (/inventory)
99,Epic 05 - Inventory & Stock,/api/stock-balances,POST,Create stock balance record,Integrated & Live Verified,lib/features/inventory/data/repositories/inventory_repository.dart,StockBalanceDto,StockDashboardScreen (/inventory)
100,Epic 05 - Inventory & Stock,/api/stock-balances/{id},GET,Get stock balance by ID,Integrated & Live Verified,lib/features/inventory/data/repositories/inventory_repository.dart,StockBalanceDto,StockDashboardScreen (/inventory)
101,Epic 05 - Inventory & Stock,/api/stock-balances/{id},PUT,Adjust stock balance,Integrated & Live Verified,lib/features/inventory/data/repositories/inventory_repository.dart,StockBalanceDto,StockDashboardScreen (/inventory)
102,Epic 05 - Inventory & Stock,/api/stock-balances/{id},DELETE,Delete stock balance record,Integrated & Live Verified,lib/features/inventory/data/repositories/inventory_repository.dart,StockBalanceDto,StockDashboardScreen (/inventory)
103,Epic 05 - Inventory & Stock,/api/stock-transactions,GET,List inventory movement transactions ledger,Integrated & Live Verified,lib/features/inventory/data/repositories/stock_transaction_repository.dart,StockTransactionDto,StockMovementScreen (/inventory/movements)
104,Epic 05 - Inventory & Stock,/api/stock-transactions,POST,Log stock movement transaction,Integrated & Live Verified,lib/features/inventory/data/repositories/stock_transaction_repository.dart,StockTransactionDto,StockMovementScreen (/inventory/movements)
105,Epic 05 - Inventory & Stock,/api/stock-transactions/{id},GET,Get stock transaction by ID,Integrated & Live Verified,lib/features/inventory/data/repositories/stock_transaction_repository.dart,StockTransactionDto,StockMovementScreen (/inventory/movements)
106,Epic 05 - Inventory & Stock,/api/stock-transactions/{id},PUT,Update stock transaction,Integrated & Live Verified,lib/features/inventory/data/repositories/stock_transaction_repository.dart,StockTransactionDto,StockMovementScreen (/inventory/movements)
107,Epic 05 - Inventory & Stock,/api/stock-transactions/{id},DELETE,Delete stock transaction,Integrated & Live Verified,lib/features/inventory/data/repositories/stock_transaction_repository.dart,StockTransactionDto,StockMovementScreen (/inventory/movements)
108,Epic 05 - Inventory & Stock,/api/audit-logs,GET,List inventory change audit logs,Integrated & Live Verified,lib/features/inventory/data/repositories/audit_log_repository.dart,AuditLogDto,StockDashboardScreen (/inventory)
109,Epic 05 - Inventory & Stock,/api/audit-logs,POST,Create inventory audit log,Integrated & Live Verified,lib/features/inventory/data/repositories/audit_log_repository.dart,AuditLogDto,StockDashboardScreen (/inventory)
110,Epic 05 - Inventory & Stock,/api/audit-logs/{id},GET,Get audit log by ID,Integrated & Live Verified,lib/features/inventory/data/repositories/audit_log_repository.dart,AuditLogDto,StockDashboardScreen (/inventory)
111,Epic 05 - Inventory & Stock,/api/audit-logs/{id},PUT,Update audit log entry,Integrated & Live Verified,lib/features/inventory/data/repositories/audit_log_repository.dart,AuditLogDto,StockDashboardScreen (/inventory)
112,Epic 05 - Inventory & Stock,/api/audit-logs/{id},DELETE,Delete audit log entry,Integrated & Live Verified,lib/features/inventory/data/repositories/audit_log_repository.dart,AuditLogDto,StockDashboardScreen (/inventory)
113,Epic 06 - BOM & Recipes,/api/b-o-m-headers,GET,List Bill of Materials (BOM) recipes,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomHeaderDto,BomListScreen (/bom)
114,Epic 06 - BOM & Recipes,/api/b-o-m-headers,POST,Create BOM formula with scrap allowance,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomHeaderDto,BomFormScreen (/bom/new)
115,Epic 06 - BOM & Recipes,/api/b-o-m-headers/{id},GET,Get BOM recipe details,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomHeaderDto,BomDetailScreen (/bom/:id)
116,Epic 06 - BOM & Recipes,/api/b-o-m-headers/{id},PUT,Update BOM formula,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomHeaderDto,BomFormScreen (/bom/:id/edit)
117,Epic 06 - BOM & Recipes,/api/b-o-m-headers/{id},DELETE,Delete BOM recipe,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomHeaderDto,BomListScreen (/bom)
118,Epic 06 - BOM & Recipes,/api/b-o-m-details,GET,List BOM recipe ingredients and ratios,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomDetailDto,BomDetailScreen (/bom/:id)
119,Epic 06 - BOM & Recipes,/api/b-o-m-details,POST,Add ingredient item to BOM,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomDetailDto,BomFormScreen (/bom/new)
120,Epic 06 - BOM & Recipes,/api/b-o-m-details/{id},GET,Get BOM ingredient item by ID,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomDetailDto,BomDetailScreen (/bom/:id)
121,Epic 06 - BOM & Recipes,/api/b-o-m-details/{id},PUT,Update BOM ingredient item,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomDetailDto,BomFormScreen (/bom/:id/edit)
122,Epic 06 - BOM & Recipes,/api/b-o-m-details/{id},DELETE,Remove ingredient item from BOM,Integrated & Live Verified,lib/features/production/bom/data/repositories/bom_repository.dart,BomDetailDto,BomDetailScreen (/bom/:id)
123,Epic 07 - Production & QC,/api/production-orders,GET,List manufacturing production runs,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionOrderDto,ProductionOrderListScreen (/production)
124,Epic 07 - Production & QC,/api/production-orders,POST,Create new production run,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionOrderDto,ProductionOrderFormScreen (/production/new)
125,Epic 07 - Production & QC,/api/production-orders/{id},GET,Get production run details,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionOrderDto,ProductionStageTrackerScreen (/production/:id/track)
126,Epic 07 - Production & QC,/api/production-orders/{id},PUT,Update production run,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionOrderDto,ProductionStageTrackerScreen (/production/:id/track)
127,Epic 07 - Production & QC,/api/production-orders/{id},DELETE,Cancel production run,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionOrderDto,ProductionOrderListScreen (/production)
128,Epic 07 - Production & QC,/api/production-stages,GET,List factory 8-stage definitions,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageDto,ManufacturingFlowScreen (/manufacturing-flow)
129,Epic 07 - Production & QC,/api/production-stages,POST,Create stage definition,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageDto,ManufacturingFlowScreen (/manufacturing-flow)
130,Epic 07 - Production & QC,/api/production-stages/{id},GET,Get stage definition by ID,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageDto,ManufacturingFlowScreen (/manufacturing-flow)
131,Epic 07 - Production & QC,/api/production-stages/{id},PUT,Update stage definition,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageDto,ManufacturingFlowScreen (/manufacturing-flow)
132,Epic 07 - Production & QC,/api/production-stages/{id},DELETE,Delete stage definition,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageDto,ManufacturingFlowScreen (/manufacturing-flow)
133,Epic 07 - Production & QC,/api/production-stage-entries,GET,List stage execution entries,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageEntryDto,ProductionStageTrackerScreen (/production/:id/track)
134,Epic 07 - Production & QC,/api/production-stage-entries,POST,Complete stage execution,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageEntryDto,ProductionStageTrackerScreen (/production/:id/track)
135,Epic 07 - Production & QC,/api/production-stage-entries/{id},GET,Get stage entry by ID,Integrated & Live Verified,lib/features/production/data/repositories/production_repository.dart,ProductionStageEntryDto,ProductionStageTrackerScreen (/production/:id/track)
